"BehaviorSpace results (NetLogo 6.2.1)"
"casual_sex_3.1.nlogo"
"likelihoodS_standardD_Ho"
"04/15/2022 10:23:39:155 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-male","movement-range","long-term-likelihood","male-short-term-likelihood","female-short-term-likelihood","male-standard","female-standard","all-homosexual?","[step]","starting-seed","count turtles with [ color = turquoise and short-term-count > 0 ]","count turtles with [ color = orange and short-term-count > 0 ]","sum [ short-term-count ] of turtles with [ color = turquoise ]","sum [ short-term-count ] of turtles with [ color = orange ]","sum [ number-of-partner-short ] of turtles with [ color = turquoise ]","sum [ number-of-partner-short ] of turtles with [ color = orange ]"
"2","150","3","10","25","25","3","5","true","1000","-1053684663","78","34","148","66","116","50"
"4","150","3","10","25","25","3","5","true","1000","-266598122","86","27","150","34","134","34"
"5","150","3","10","25","25","3","5","true","1000","1184354973","69","26","124","38","104","30"
"3","150","3","10","25","25","3","5","true","1000","1024176819","74","36","160","60","116","50"
"1","150","3","10","25","25","3","5","true","1000","1578754646","62","21","132","40","98","26"
"6","150","3","10","25","25","3","5","true","1000","-1177701745","80","25","162","30","128","30"
"7","150","3","10","25","25","3","5","true","1000","-318328309","70","27","122","48","90","38"
"8","150","3","10","25","25","3","5","true","1000","-604807565","78","28","130","58","102","32"
"10","150","3","10","25","25","3","5","true","1000","-603676282","78","27","152","44","128","34"
"9","150","3","10","25","25","3","5","true","1000","1758649766","76","38","172","56","126","48"
"11","150","3","10","25","25","3","5","true","1000","1654766814","82","25","162","34","132","32"
"13","150","3","10","25","25","3","5","true","1000","1438040099","79","30","138","36","112","34"
"12","150","3","10","25","25","3","5","true","1000","-912496858","69","27","138","32","108","28"
"14","150","3","10","25","25","3","5","true","1000","-855456416","75","25","148","48","120","28"
"15","150","3","10","25","25","3","5","true","1000","2139823531","96","28","170","38","140","36"
"16","150","3","10","25","25","3","5","true","1000","-1975911896","75","20","144","28","114","26"
"18","150","3","10","25","25","3","5","true","1000","-209339733","73","24","128","40","110","32"
"17","150","3","10","25","25","3","5","true","1000","-1330760451","71","23","156","28","108","26"
"19","150","3","10","25","25","3","5","true","1000","2048342466","84","38","168","66","130","50"
"20","150","3","10","25","25","3","5","true","1000","-1924759892","72","29","122","38","112","34"
"21","150","3","10","25","25","3","5","true","1000","-1397945773","90","23","178","42","144","28"
"23","150","3","10","25","25","3","5","true","1000","-1333291740","73","28","146","52","106","32"
"22","150","3","10","25","25","3","5","true","1000","1378260122","82","24","198","58","150","28"
"24","150","3","10","25","25","3","5","true","1000","-1433718491","72","35","152","48","108","44"
"25","150","3","10","25","25","3","5","true","1000","559797543","83","32","168","52","130","44"
"26","150","3","10","25","25","3","5","true","1000","-1806167788","80","36","168","56","128","54"
"27","150","3","10","25","25","3","5","true","1000","-254093994","80","21","144","38","114","28"
"28","150","3","10","25","25","3","5","true","1000","-1477601701","68","33","136","60","94","52"
"29","150","3","10","25","25","3","5","true","1000","1439162397","80","31","158","56","124","34"
"30","150","3","10","25","25","3","5","true","1000","1629020557","78","18","166","20","134","20"
"31","150","3","10","25","25","3","5","true","1000","1938472564","74","23","142","34","104","26"
"32","150","3","10","25","25","3","5","true","1000","-1514833888","80","37","164","80","122","52"
"33","150","3","10","25","25","3","5","true","1000","-196584134","83","35","174","70","124","42"
"34","150","3","10","25","25","3","5","true","1000","781126161","74","34","132","58","118","48"
"35","150","3","10","25","25","3","5","true","1000","199515938","81","32","174","46","128","36"
"36","150","3","10","25","25","3","5","true","1000","567312636","77","38","138","48","122","44"
"37","150","3","10","25","25","3","5","true","1000","2115199786","75","28","150","58","114","38"
"38","150","3","10","25","25","3","5","true","1000","566749992","87","22","156","32","124","28"
"39","150","3","10","25","25","3","5","true","1000","531146373","79","18","168","24","130","20"
"40","150","3","10","25","25","3","5","true","1000","1063820265","90","27","188","54","146","46"
"41","150","3","10","25","25","3","5","true","1000","-131027577","95","27","192","68","156","34"
"42","150","3","10","25","25","3","5","true","1000","1799511173","78","19","140","28","102","24"
"43","150","3","10","25","25","3","5","true","1000","-1114080690","81","26","174","34","134","30"
"44","150","3","10","25","25","3","5","true","1000","-1882212246","86","39","164","72","124","60"
"45","150","3","10","25","25","3","5","true","1000","-700089695","90","19","192","46","138","28"
"46","150","3","10","25","25","3","5","true","1000","-901163900","84","28","170","50","134","34"
"47","150","3","10","25","25","3","5","true","1000","-474209910","81","40","174","70","126","48"
"48","150","3","10","25","25","3","5","true","1000","-749978947","79","24","138","28","122","28"
"49","150","3","10","25","25","3","5","true","1000","-211848528","83","33","150","54","120","40"
"50","150","3","10","25","25","3","5","true","1000","739738675","70","34","124","60","108","44"
"51","150","3","10","25","25","3","5","true","1000","357748851","68","24","106","42","94","32"
"52","150","3","10","25","25","3","5","true","1000","9819288","84","37","148","56","122","56"
"53","150","3","10","25","25","3","5","true","1000","421246092","78","23","132","40","116","26"
"54","150","3","10","25","25","3","5","true","1000","-1214277282","75","38","124","64","102","42"
"55","150","3","10","25","25","3","5","true","1000","956835726","85","30","152","60","124","38"
"56","150","3","10","25","25","3","5","true","1000","2078763166","81","33","168","58","120","44"
"57","150","3","10","25","25","3","5","true","1000","-2146371422","75","29","154","64","122","38"
"58","150","3","10","25","25","3","5","true","1000","-1187769003","83","33","202","56","134","44"
"59","150","3","10","25","25","3","5","true","1000","-808359178","86","29","162","66","132","40"
"60","150","3","10","25","25","3","5","true","1000","-561133924","80","26","158","36","124","30"
"61","150","3","10","25","25","3","5","true","1000","1672100303","81","29","170","54","124","38"
"62","150","3","10","25","25","3","5","true","1000","-406822680","80","26","168","46","136","28"
"63","150","3","10","25","25","3","5","true","1000","420865695","88","15","188","22","138","18"
"64","150","3","10","25","25","3","5","true","1000","427866960","85","34","186","64","144","56"
"65","150","3","10","25","25","3","5","true","1000","-1232574115","77","38","174","76","116","52"
"66","150","3","10","25","25","3","5","true","1000","1687998794","75","40","128","84","118","58"
"67","150","3","10","25","25","3","5","true","1000","746440289","78","10","152","14","126","12"
"68","150","3","10","25","25","3","5","true","1000","1391177458","83","26","156","30","120","30"
"69","150","3","10","25","25","3","5","true","1000","1988736526","80","37","160","74","116","50"
"70","150","3","10","25","25","3","5","true","1000","-789366145","83","35","152","56","132","46"
"71","150","3","10","25","25","3","5","true","1000","938048251","64","22","126","30","98","28"
"72","150","3","10","25","25","3","5","true","1000","390259789","75","25","140","44","106","30"
"73","150","3","10","25","25","3","5","true","1000","-648915340","78","41","142","56","124","52"
"74","150","3","10","25","25","3","5","true","1000","-1441189388","81","32","152","48","114","38"
"75","150","3","10","25","25","3","5","true","1000","-1414861367","87","43","196","90","150","60"
"76","150","3","10","25","25","3","5","true","1000","340964459","91","28","176","44","138","38"
"77","150","3","10","25","25","3","5","true","1000","-1254660437","74","36","192","58","122","44"
"78","150","3","10","25","25","3","5","true","1000","-1186385750","83","30","140","48","122","38"
"79","150","3","10","25","25","3","5","true","1000","-620193685","90","38","180","80","146","54"
"80","150","3","10","25","25","3","5","true","1000","280128593","66","34","142","74","112","48"
"81","150","3","10","25","25","3","5","true","1000","561500223","78","23","160","34","138","26"
"82","150","3","10","25","25","3","5","true","1000","1492097005","77","31","126","44","108","36"
"83","150","3","10","25","25","3","5","true","1000","-935575557","76","18","138","30","116","24"
"84","150","3","10","25","25","3","5","true","1000","1084699638","76","26","172","56","134","36"
"85","150","3","10","25","25","3","5","true","1000","2102779860","83","43","170","68","130","56"
"86","150","3","10","25","25","3","5","true","1000","-913996853","74","32","128","68","106","44"
"87","150","3","10","25","25","3","5","true","1000","-1492854671","73","23","130","40","110","32"
"88","150","3","10","25","25","3","5","true","1000","309274051","82","26","166","38","126","32"
"89","150","3","10","25","25","3","5","true","1000","-1768108849","70","40","132","60","106","50"
"90","150","3","10","25","25","3","5","true","1000","37850008","74","38","144","68","118","58"
"91","150","3","10","25","25","3","5","true","1000","-257047940","72","36","146","58","104","46"
"92","150","3","10","25","25","3","5","true","1000","61409435","83","33","166","50","126","42"
"93","150","3","10","25","25","3","5","true","1000","-1462319849","76","39","140","50","110","50"
"94","150","3","10","25","25","3","5","true","1000","-486822671","77","29","168","48","118","42"
"95","150","3","10","25","25","3","5","true","1000","-1095082119","84","24","188","36","138","26"
"96","150","3","10","25","25","3","5","true","1000","-1748105322","86","35","180","56","146","38"
"97","150","3","10","25","25","3","5","true","1000","-1149797399","79","23","146","32","124","30"
"98","150","3","10","25","25","3","5","true","1000","-323399907","90","25","172","36","144","30"
"99","150","3","10","25","25","3","5","true","1000","-1675870312","78","12","166","14","132","14"
"100","150","3","10","25","25","3","5","true","1000","-1435460419","89","14","194","18","140","18"
"101","150","3","10","25","25","3","5","true","1000","-837183191","72","21","136","32","108","26"
"102","150","3","10","25","25","3","5","true","1000","492137417","77","25","150","38","114","30"
"103","150","3","10","25","25","3","5","true","1000","-2043930229","66","19","92","36","90","28"
"104","150","3","10","25","25","3","5","true","1000","2025698984","66","26","134","54","92","36"
"105","150","3","10","25","25","3","5","true","1000","-76739652","80","19","166","26","126","22"
"106","150","3","10","25","25","3","5","true","1000","1361241156","71","22","126","52","110","30"
"107","150","3","10","25","25","3","5","true","1000","176379367","81","27","154","38","118","32"
"108","150","3","10","25","25","3","5","true","1000","-1636126765","88","25","192","40","150","32"
"109","150","3","10","25","25","3","5","true","1000","-47706948","73","28","134","38","110","34"
"110","150","3","10","25","25","3","5","true","1000","-1111204231","83","34","142","78","134","46"
"111","150","3","10","25","25","3","5","true","1000","1079711230","78","31","130","56","118","42"
"112","150","3","10","25","25","3","5","true","1000","1072231954","68","34","138","54","106","44"
"113","150","3","10","25","25","3","5","true","1000","769515293","79","37","174","54","130","48"
"114","150","3","10","25","25","3","5","true","1000","-2047951563","78","26","148","42","120","32"
"115","150","3","10","25","25","3","5","true","1000","-1972554424","84","34","200","68","146","42"
"116","150","3","10","25","25","3","5","true","1000","1185229732","67","33","174","44","100","38"
"117","150","3","10","25","25","3","5","true","1000","-1921016096","81","31","162","48","134","44"
"118","150","3","10","25","25","3","5","true","1000","-911678402","77","30","160","40","114","38"
"119","150","3","10","25","25","3","5","true","1000","828797656","74","25","138","54","112","36"
"120","150","3","10","25","25","3","5","true","1000","-1498979113","78","22","142","26","122","24"
"121","150","3","10","25","25","3","5","true","1000","-1276070364","80","37","138","64","124","54"
"122","150","3","10","25","25","3","5","true","1000","-872593119","80","37","158","58","118","52"
"123","150","3","10","25","25","3","5","true","1000","1763362834","89","27","190","36","162","32"
"124","150","3","10","25","25","3","5","true","1000","-496249873","88","20","164","32","128","28"
"125","150","3","10","25","25","3","5","true","1000","2009010579","94","25","190","28","156","26"
"126","150","3","10","25","25","3","5","true","1000","-1162469151","71","24","186","28","116","26"
"127","150","3","10","25","25","3","5","true","1000","1161049707","77","30","190","52","116","42"
"128","150","3","10","25","25","3","5","true","1000","667200530","80","30","166","42","114","42"
"129","150","3","10","25","25","3","5","true","1000","-754486842","85","33","168","58","144","40"
"130","150","3","10","25","25","3","5","true","1000","2145258333","75","29","146","38","118","32"
"131","150","3","10","25","25","3","5","true","1000","-222947120","79","30","184","50","130","36"
"132","150","3","10","25","25","3","5","true","1000","962516576","73","26","144","46","100","34"
"133","150","3","10","25","25","3","5","true","1000","50834710","69","35","128","52","114","46"
"134","150","3","10","25","25","3","5","true","1000","-1374125848","81","32","192","48","130","40"
"135","150","3","10","25","25","3","5","true","1000","-1932519887","81","35","160","58","130","48"
"136","150","3","10","25","25","3","5","true","1000","-900077296","60","33","120","46","94","42"
